id, nombre, plantel, Turno, estacion, puntajeEstacion,Llegada,Salida
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Ciencias Sociales,100,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Ciencias Sociales,100,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Ciencias Sociales,45,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Ciencias Sociales,80,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Ciencias Sociales,70,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Ciencias Sociales,55,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Ciencias Sociales,35,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Ciencias Sociales,70,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Ciencias Sociales,65,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Ciencias Sociales,85,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Ciencias Sociales,90,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Ciencias Sociales,80,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Ciencias Sociales,40,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Ciencias Sociales,60,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Ciencias Sociales,80,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Ciencias Sociales,70,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Ciencias Sociales,75,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Ciencias Sociales,100,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Ciencias Sociales,80,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Ciencias Sociales,60,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Ciencias Sociales,95,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Ciencias Sociales,80,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Ciencias Sociales,75,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Ciencias Sociales,50,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Ciencias Sociales,100,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Ciencias Sociales,45,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Ciencias Sociales,100,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Ciencias Sociales,95,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Ciencias Sociales,65,10:10:00 a. m.,10:55:00 a. m.
